"year","age_group","state","Sum(cases)","Sum(bed_days)"
"2011","0-7","ACT",5,10
"2011","0-7","NSW",204,785
"2011","0-7","NT",7,10
"2011","0-7","Qld",197,466
"2011","0-7","SA",44,86
"2011","0-7","Tas",20,71
"2011","0-7","Vic",149,393
"2011","0-7","WA",84,452
"2011","17-25","ACT",118,501
"2011","17-25","NSW",2502,9842
"2011","17-25","NT",119,607
"2011","17-25","Qld",1499,6063
"2011","17-25","SA",527,1918
"2011","17-25","Tas",126,781
"2011","17-25","Vic",2147,6016
"2011","17-25","WA",856,4061
"2011","26-39","ACT",142,512
"2011","26-39","NSW",2462,9187
"2011","26-39","NT",134,765
"2011","26-39","Qld",1457,6726
"2011","26-39","SA",541,2913
"2011","26-39","Tas",97,691
"2011","26-39","Vic",2358,7758
"2011","26-39","WA",823,4383
"2011","40-64","ACT",177,729
"2011","40-64","NSW",3352,15809
"2011","40-64","NT",124,1022
"2011","40-64","Qld",1936,9335
"2011","40-64","SA",774,4435
"2011","40-64","Tas",143,929
"2011","40-64","Vic",3014,11390
"2011","40-64","WA",1048,6503
"2011","65-74","ACT",10,104
"2011","65-74","NSW",655,5263
"2011","65-74","NT",8,188
"2011","65-74","Qld",330,1897
"2011","65-74","SA",143,955
"2011","65-74","Tas",27,193
"2011","65-74","Vic",581,2861
"2011","65-74","WA",183,918
"2011","75+","ACT",,
"2011","75+","NSW",688,6513
"2011","75+","NT",,
"2011","75+","Qld",271,2338
"2011","75+","SA",169,1208
"2011","75+","Tas",34,308
"2011","75+","Vic",544,4070
"2011","75+","WA",154,929
"2011","8-16","ACT",38,393
"2011","8-16","NSW",755,2945
"2011","8-16","NT",54,285
"2011","8-16","Qld",632,1708
"2011","8-16","SA",161,517
"2011","8-16","Tas",46,133
"2011","8-16","Vic",533,1436
"2011","8-16","WA",294,1239
"2012","0-7","ACT",,
"2012","0-7","NSW",246,1258
"2012","0-7","NT",,
"2012","0-7","Qld",193,523
"2012","0-7","SA",40,81
"2012","0-7","Tas",19,43
"2012","0-7","Vic",126,321
"2012","0-7","WA",93,458
"2012","17-25","ACT",141,508
"2012","17-25","NSW",2516,8646
"2012","17-25","NT",121,707
"2012","17-25","Qld",1647,6365
"2012","17-25","SA",538,2302
"2012","17-25","Tas",134,611
"2012","17-25","Vic",1891,5540
"2012","17-25","WA",820,3986
"2012","26-39","ACT",157,518
"2012","26-39","NSW",2640,10116
"2012","26-39","NT",150,862
"2012","26-39","Qld",1593,6412
"2012","26-39","SA",468,2313
"2012","26-39","Tas",102,527
"2012","26-39","Vic",2050,6897
"2012","26-39","WA",902,4560
"2012","40-64","ACT",205,796
"2012","40-64","NSW",3591,16660
"2012","40-64","NT",143,1006
"2012","40-64","Qld",2139,10519
"2012","40-64","SA",760,4847
"2012","40-64","Tas",170,879
"2012","40-64","Vic",2531,9216
"2012","40-64","WA",1028,5600
"2012","65-74","ACT",7,24
"2012","65-74","NSW",664,4257
"2012","65-74","NT",12,102
"2012","65-74","Qld",369,2693
"2012","65-74","SA",150,865
"2012","65-74","Tas",27,245
"2012","65-74","Vic",526,2984
"2012","65-74","WA",150,758
"2012","75+","ACT",,
"2012","75+","NSW",705,5906
"2012","75+","NT",,
"2012","75+","Qld",310,2374
"2012","75+","SA",216,1635
"2012","75+","Tas",42,350
"2012","75+","Vic",552,4160
"2012","75+","WA",186,1393
"2012","8-16","ACT",36,115
"2012","8-16","NSW",759,3115
"2012","8-16","NT",46,153
"2012","8-16","Qld",562,1528
"2012","8-16","SA",139,390
"2012","8-16","Tas",42,193
"2012","8-16","Vic",422,1127
"2012","8-16","WA",314,1144
"2013","0-7","ACT",,
"2013","0-7","NSW",238,692
"2013","0-7","NT",,
"2013","0-7","Qld",217,422
"2013","0-7","SA",34,78
"2013","0-7","Tas",8,20
"2013","0-7","Vic",128,292
"2013","0-7","WA",70,268
"2013","17-25","ACT",109,441
"2013","17-25","NSW",2545,8644
"2013","17-25","NT",149,907
"2013","17-25","Qld",1720,5011
"2013","17-25","SA",461,2437
"2013","17-25","Tas",135,484
"2013","17-25","Vic",1679,4999
"2013","17-25","WA",816,3631
"2013","26-39","ACT",160,600
"2013","26-39","NSW",2625,8378
"2013","26-39","NT",166,1191
"2013","26-39","Qld",1841,6701
"2013","26-39","SA",508,2328
"2013","26-39","Tas",122,463
"2013","26-39","Vic",1928,5835
"2013","26-39","WA",929,4105
"2013","40-64","ACT",204,878
"2013","40-64","NSW",3733,16266
"2013","40-64","NT",146,1040
"2013","40-64","Qld",2603,10652
"2013","40-64","SA",735,3683
"2013","40-64","Tas",162,822
"2013","40-64","Vic",2605,10565
"2013","40-64","WA",1061,5592
"2013","65-74","ACT",34,177
"2013","65-74","NSW",773,4908
"2013","65-74","NT",15,100
"2013","65-74","Qld",426,2436
"2013","65-74","SA",129,1286
"2013","65-74","Tas",45,310
"2013","65-74","Vic",536,2654
"2013","65-74","WA",180,1260
"2013","75+","ACT",,
"2013","75+","NSW",736,5868
"2013","75+","NT",,
"2013","75+","Qld",355,2129
"2013","75+","SA",178,1301
"2013","75+","Tas",15,185
"2013","75+","Vic",547,3748
"2013","75+","WA",153,1362
"2013","8-16","ACT",26,86
"2013","8-16","NSW",771,2283
"2013","8-16","NT",60,282
"2013","8-16","Qld",659,1668
"2013","8-16","SA",176,458
"2013","8-16","Tas",48,153
"2013","8-16","Vic",361,973
"2013","8-16","WA",266,1008
"2014","0-7","ACT",6,25
"2014","0-7","NSW",217,746
"2014","0-7","NT",,
"2014","0-7","Qld",216,643
"2014","0-7","SA",45,106
"2014","0-7","Tas",7,9
"2014","0-7","Vic",137,370
"2014","0-7","WA",79,470
"2014","17-25","ACT",123,356
"2014","17-25","NSW",2328,7074
"2014","17-25","NT",154,772
"2014","17-25","Qld",1751,5089
"2014","17-25","SA",509,1582
"2014","17-25","Tas",136,398
"2014","17-25","Vic",1807,5299
"2014","17-25","WA",675,3361
"2014","26-39","ACT",147,423
"2014","26-39","NSW",2702,9432
"2014","26-39","NT",172,859
"2014","26-39","Qld",1819,6198
"2014","26-39","SA",521,1942
"2014","26-39","Tas",149,593
"2014","26-39","Vic",2092,5640
"2014","26-39","WA",834,4212
"2014","40-64","ACT",171,657
"2014","40-64","NSW",3749,15522
"2014","40-64","NT",165,999
"2014","40-64","Qld",2546,11017
"2014","40-64","SA",836,4902
"2014","40-64","Tas",207,1016
"2014","40-64","Vic",2870,9785
"2014","40-64","WA",1004,5409
"2014","65-74","ACT",30,138
"2014","65-74","NSW",842,4764
"2014","65-74","NT",10,46
"2014","65-74","Qld",457,2115
"2014","65-74","SA",152,1063
"2014","65-74","Tas",16,136
"2014","65-74","Vic",619,3371
"2014","65-74","WA",169,1147
"2014","75+","ACT",13,163
"2014","75+","NSW",816,6705
"2014","75+","NT",7,90
"2014","75+","Qld",343,2280
"2014","75+","SA",171,1269
"2014","75+","Tas",59,507
"2014","75+","Vic",555,3555
"2014","75+","WA",149,1277
"2014","8-16","ACT",33,81
"2014","8-16","NSW",659,1797
"2014","8-16","NT",48,148
"2014","8-16","Qld",593,1674
"2014","8-16","SA",147,332
"2014","8-16","Tas",50,135
"2014","8-16","Vic",443,1005
"2014","8-16","WA",244,713
"2015","0-7","ACT",7,7
"2015","0-7","NSW",212,795
"2015","0-7","NT",6,25
"2015","0-7","Qld",206,762
"2015","0-7","SA",37,59
"2015","0-7","Tas",,
"2015","0-7","Vic",167,308
"2015","0-7","WA",90,443
"2015","17-25","ACT",130,503
"2015","17-25","NSW",2402,8911
"2015","17-25","NT",157,794
"2015","17-25","Qld",1769,5258
"2015","17-25","SA",482,1647
"2015","17-25","Tas",157,683
"2015","17-25","Vic",1829,7883
"2015","17-25","WA",655,3403
"2015","26-39","ACT",171,470
"2015","26-39","NSW",2563,10317
"2015","26-39","NT",197,837
"2015","26-39","Qld",1928,7558
"2015","26-39","SA",550,2272
"2015","26-39","Tas",160,760
"2015","26-39","Vic",2351,10466
"2015","26-39","WA",803,4098
"2015","40-64","ACT",250,1123
"2015","40-64","NSW",3679,19883
"2015","40-64","NT",241,1400
"2015","40-64","Qld",2780,12584
"2015","40-64","SA",856,4164
"2015","40-64","Tas",218,1013
"2015","40-64","Vic",3031,15623
"2015","40-64","WA",994,6433
"2015","65-74","ACT",52,332
"2015","65-74","NSW",786,5449
"2015","65-74","NT",14,77
"2015","65-74","Qld",517,3180
"2015","65-74","SA",178,1091
"2015","65-74","Tas",44,341
"2015","65-74","Vic",662,5710
"2015","65-74","WA",183,1260
"2015","75+","ACT",31,197
"2015","75+","NSW",790,7065
"2015","75+","NT",7,87
"2015","75+","Qld",445,3426
"2015","75+","SA",205,1432
"2015","75+","Tas",,
"2015","75+","Vic",646,8244
"2015","75+","WA",171,1996
"2015","8-16","ACT",43,114
"2015","8-16","NSW",652,1911
"2015","8-16","NT",57,201
"2015","8-16","Qld",661,1502
"2015","8-16","SA",159,502
"2015","8-16","Tas",52,92
"2015","8-16","Vic",512,1838
"2015","8-16","WA",287,812
"2016","0-7","ACT",12,25
"2016","0-7","NSW",174,815
"2016","0-7","NT",8,22
"2016","0-7","Qld",201,470
"2016","0-7","SA",50,90
"2016","0-7","Tas",11,20
"2016","0-7","Vic",173,636
"2016","0-7","WA",82,153
"2016","17-25","ACT",138,490
"2016","17-25","NSW",2415,10023
"2016","17-25","NT",197,764
"2016","17-25","Qld",2021,6240
"2016","17-25","SA",565,2079
"2016","17-25","Tas",182,971
"2016","17-25","Vic",2125,10235
"2016","17-25","WA",577,4191
"2016","26-39","ACT",154,380
"2016","26-39","NSW",2713,12415
"2016","26-39","NT",198,883
"2016","26-39","Qld",2065,8382
"2016","26-39","SA",561,2521
"2016","26-39","Tas",128,588
"2016","26-39","Vic",2649,13639
"2016","26-39","WA",743,5045
"2016","40-64","ACT",214,914
"2016","40-64","NSW",3835,21752
"2016","40-64","NT",192,1187
"2016","40-64","Qld",2785,15111
"2016","40-64","SA",877,4501
"2016","40-64","Tas",184,1286
"2016","40-64","Vic",3487,23140
"2016","40-64","WA",1022,7401
"2016","65-74","ACT",28,137
"2016","65-74","NSW",832,6219
"2016","65-74","NT",11,121
"2016","65-74","Qld",553,4182
"2016","65-74","SA",224,1466
"2016","65-74","Tas",46,476
"2016","65-74","Vic",725,7243
"2016","65-74","WA",187,2089
"2016","75+","ACT",43,488
"2016","75+","NSW",800,7192
"2016","75+","NT",13,419
"2016","75+","Qld",433,4100
"2016","75+","SA",222,2115
"2016","75+","Tas",46,507
"2016","75+","Vic",673,11408
"2016","75+","WA",163,2146
"2016","8-16","ACT",51,111
"2016","8-16","NSW",705,1933
"2016","8-16","NT",61,223
"2016","8-16","Qld",644,1332
"2016","8-16","SA",155,423
"2016","8-16","Tas",60,116
"2016","8-16","Vic",528,1477
"2016","8-16","WA",257,877
"2017","0-7","ACT",,
"2017","0-7","NSW",190,582
"2017","0-7","NT",20,117
"2017","0-7","Qld",217,413
"2017","0-7","SA",40,268
"2017","0-7","Tas",,
"2017","0-7","Vic",193,311
"2017","0-7","WA",63,147
"2017","17-25","ACT",113,356
"2017","17-25","NSW",2393,9078
"2017","17-25","NT",179,646
"2017","17-25","Qld",2041,6820
"2017","17-25","SA",463,1997
"2017","17-25","Tas",149,546
"2017","17-25","Vic",2212,10419
"2017","17-25","WA",612,3333
"2017","26-39","ACT",153,519
"2017","26-39","NSW",2510,12502
"2017","26-39","NT",197,937
"2017","26-39","Qld",2142,7630
"2017","26-39","SA",525,2811
"2017","26-39","Tas",104,677
"2017","26-39","Vic",2763,13769
"2017","26-39","WA",804,4133
"2017","40-64","ACT",237,822
"2017","40-64","NSW",3647,21031
"2017","40-64","NT",204,1573
"2017","40-64","Qld",3004,14104
"2017","40-64","SA",791,4481
"2017","40-64","Tas",233,1577
"2017","40-64","Vic",3607,21324
"2017","40-64","WA",1080,6733
"2017","65-74","ACT",42,260
"2017","65-74","NSW",847,5417
"2017","65-74","NT",30,319
"2017","65-74","Qld",580,4282
"2017","65-74","SA",205,1536
"2017","65-74","Tas",68,581
"2017","65-74","Vic",784,7592
"2017","65-74","WA",177,2101
"2017","75+","ACT",,
"2017","75+","NSW",799,9037
"2017","75+","NT",17,297
"2017","75+","Qld",451,4845
"2017","75+","SA",220,2192
"2017","75+","Tas",,
"2017","75+","Vic",661,8832
"2017","75+","WA",171,1624
"2017","8-16","ACT",40,121
"2017","8-16","NSW",630,1867
"2017","8-16","NT",56,108
"2017","8-16","Qld",699,1770
"2017","8-16","SA",150,494
"2017","8-16","Tas",50,121
"2017","8-16","Vic",574,1807
"2017","8-16","WA",288,1089
"2018","0-7","ACT",14,24
"2018","0-7","NSW",130,683
"2018","0-7","NT",12,23
"2018","0-7","Qld",204,393
"2018","0-7","SA",36,247
"2018","0-7","Tas",8,10
"2018","0-7","Vic",228,589
"2018","0-7","WA",76,437
"2018","17-25","ACT",143,430
"2018","17-25","NSW",1974,10628
"2018","17-25","NT",221,1343
"2018","17-25","Qld",2061,6427
"2018","17-25","SA",482,2260
"2018","17-25","Tas",164,1047
"2018","17-25","Vic",2311,9401
"2018","17-25","WA",627,2034
"2018","26-39","ACT",171,764
"2018","26-39","NSW",2285,9586
"2018","26-39","NT",256,1653
"2018","26-39","Qld",2286,8235
"2018","26-39","SA",572,2287
"2018","26-39","Tas",161,866
"2018","26-39","Vic",2862,12158
"2018","26-39","WA",808,3892
"2018","40-64","ACT",248,813
"2018","40-64","NSW",3283,20666
"2018","40-64","NT",241,1428
"2018","40-64","Qld",3052,13103
"2018","40-64","SA",853,4717
"2018","40-64","Tas",266,1505
"2018","40-64","Vic",3780,22846
"2018","40-64","WA",1111,4559
"2018","65-74","ACT",50,281
"2018","65-74","NSW",779,7249
"2018","65-74","NT",21,270
"2018","65-74","Qld",621,4551
"2018","65-74","SA",180,1349
"2018","65-74","Tas",69,576
"2018","65-74","Vic",900,7647
"2018","65-74","WA",217,1538
"2018","75+","ACT",49,533
"2018","75+","NSW",781,8783
"2018","75+","NT",7,80
"2018","75+","Qld",486,4750
"2018","75+","SA",187,1303
"2018","75+","Tas",30,299
"2018","75+","Vic",795,9882
"2018","75+","WA",176,1802
"2018","8-16","ACT",37,139
"2018","8-16","NSW",562,1929
"2018","8-16","NT",66,359
"2018","8-16","Qld",671,1380
"2018","8-16","SA",179,495
"2018","8-16","Tas",54,112
"2018","8-16","Vic",577,1321
"2018","8-16","WA",259,818
"2019","0-7","ACT",,
"2019","0-7","NSW",149,931
"2019","0-7","NT",12,54
"2019","0-7","Qld",165,436
"2019","0-7","SA",53,86
"2019","0-7","Tas",8,10
"2019","0-7","Vic",183,541
"2019","0-7","WA",102,371
"2019","17-25","ACT",128,552
"2019","17-25","NSW",1950,10485
"2019","17-25","NT",178,994
"2019","17-25","Qld",2004,6835
"2019","17-25","SA",498,1821
"2019","17-25","Tas",153,508
"2019","17-25","Vic",2185,11674
"2019","17-25","WA",622,2214
"2019","26-39","ACT",181,511
"2019","26-39","NSW",2240,10486
"2019","26-39","NT",180,784
"2019","26-39","Qld",2216,7606
"2019","26-39","SA",539,2263
"2019","26-39","Tas",163,1079
"2019","26-39","Vic",2894,11448
"2019","26-39","WA",864,3674
"2019","40-64","ACT",217,985
"2019","40-64","NSW",3357,21032
"2019","40-64","NT",185,1266
"2019","40-64","Qld",3165,14549
"2019","40-64","SA",809,3731
"2019","40-64","Tas",211,1344
"2019","40-64","Vic",3838,20008
"2019","40-64","WA",1224,7081
"2019","65-74","ACT",53,390
"2019","65-74","NSW",836,7512
"2019","65-74","NT",29,217
"2019","65-74","Qld",717,4851
"2019","65-74","SA",217,1172
"2019","65-74","Tas",59,449
"2019","65-74","Vic",887,7039
"2019","65-74","WA",233,1482
"2019","75+","ACT",18,140
"2019","75+","NSW",827,10575
"2019","75+","NT",12,197
"2019","75+","Qld",533,4174
"2019","75+","SA",190,1436
"2019","75+","Tas",58,571
"2019","75+","Vic",804,8493
"2019","75+","WA",205,2319
"2019","8-16","ACT",29,37
"2019","8-16","NSW",583,1977
"2019","8-16","NT",44,118
"2019","8-16","Qld",715,1738
"2019","8-16","SA",151,294
"2019","8-16","Tas",28,56
"2019","8-16","Vic",601,1806
"2019","8-16","WA",284,681
"2020","0-7","ACT",,
"2020","0-7","NSW",151,907
"2020","0-7","NT",,
"2020","0-7","Qld",233,407
"2020","0-7","SA",30,75
"2020","0-7","Tas",26,115
"2020","0-7","Vic",176,364
"2020","0-7","WA",72,183
"2020","17-25","ACT",101,370
"2020","17-25","NSW",1917,7961
"2020","17-25","NT",202,777
"2020","17-25","Qld",2183,7807
"2020","17-25","SA",497,1802
"2020","17-25","Tas",192,818
"2020","17-25","Vic",1917,7439
"2020","17-25","WA",693,3215
"2020","26-39","ACT",174,515
"2020","26-39","NSW",2076,9738
"2020","26-39","NT",206,906
"2020","26-39","Qld",2296,8258
"2020","26-39","SA",586,2633
"2020","26-39","Tas",170,616
"2020","26-39","Vic",2497,9569
"2020","26-39","WA",924,3970
"2020","40-64","ACT",220,1024
"2020","40-64","NSW",3071,20403
"2020","40-64","NT",232,1157
"2020","40-64","Qld",3199,12242
"2020","40-64","SA",807,4261
"2020","40-64","Tas",221,841
"2020","40-64","Vic",3285,15916
"2020","40-64","WA",1217,7195
"2020","65-74","ACT",47,234
"2020","65-74","NSW",726,7286
"2020","65-74","NT",44,317
"2020","65-74","Qld",670,3819
"2020","65-74","SA",224,1741
"2020","65-74","Tas",67,464
"2020","65-74","Vic",720,6283
"2020","65-74","WA",257,1505
"2020","75+","ACT",,
"2020","75+","NSW",690,9898
"2020","75+","NT",,
"2020","75+","Qld",448,3698
"2020","75+","SA",172,1108
"2020","75+","Tas",41,490
"2020","75+","Vic",578,6341
"2020","75+","WA",187,1983
"2020","8-16","ACT",56,200
"2020","8-16","NSW",643,2178
"2020","8-16","NT",73,129
"2020","8-16","Qld",772,1619
"2020","8-16","SA",187,560
"2020","8-16","Tas",61,138
"2020","8-16","Vic",711,2025
"2020","8-16","WA",286,737
"2021","0-7","ACT",10,12
"2021","0-7","NSW",146,654
"2021","0-7","NT",12,32
"2021","0-7","Qld",186,358
"2021","0-7","SA",48,144
"2021","0-7","Tas",10,75
"2021","0-7","Vic",214,426
"2021","0-7","WA",67,221
"2021","17-25","ACT",118,221
"2021","17-25","NSW",1762,8694
"2021","17-25","NT",178,747
"2021","17-25","Qld",2316,7539
"2021","17-25","SA",523,1918
"2021","17-25","Tas",199,1050
"2021","17-25","Vic",2070,8368
"2021","17-25","WA",685,4034
"2021","26-39","ACT",174,636
"2021","26-39","NSW",1956,8703
"2021","26-39","NT",199,1014
"2021","26-39","Qld",2503,8405
"2021","26-39","SA",589,2547
"2021","26-39","Tas",163,496
"2021","26-39","Vic",2804,11525
"2021","26-39","WA",824,5237
"2021","40-64","ACT",288,1118
"2021","40-64","NSW",3027,18478
"2021","40-64","NT",215,1309
"2021","40-64","Qld",3430,14028
"2021","40-64","SA",848,3714
"2021","40-64","Tas",227,1392
"2021","40-64","Vic",3714,19292
"2021","40-64","WA",1201,7016
"2021","65-74","ACT",48,204
"2021","65-74","NSW",749,6980
"2021","65-74","NT",35,203
"2021","65-74","Qld",706,4417
"2021","65-74","SA",265,1742
"2021","65-74","Tas",82,876
"2021","65-74","Vic",849,6156
"2021","65-74","WA",276,2469
"2021","75+","ACT",15,72
"2021","75+","NSW",707,9218
"2021","75+","NT",5,603
"2021","75+","Qld",553,4359
"2021","75+","SA",177,1209
"2021","75+","Tas",65,847
"2021","75+","Vic",671,6616
"2021","75+","WA",231,2436
"2021","8-16","ACT",60,285
"2021","8-16","NSW",656,2371
"2021","8-16","NT",56,120
"2021","8-16","Qld",753,1783
"2021","8-16","SA",182,578
"2021","8-16","Tas",59,124
"2021","8-16","Vic",808,2316
"2021","8-16","WA",284,875
